שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
נצרת,2019,"6,959.30",51,38.6,0.4
נצרת,2018,"6,787.80",51.6,42.2,0.4
נצרת,2017,"6,609.80",49.8,38.5,0.4
נצרת,2016,"6,284",50.7,39.8,0.4
נצרת,2015,"6,122",48.6,41.6,0.4
נשר,2019,"11,110.00",33,41.6,0.4
נשר,2018,"10,493.50",33.9,43.5,0.4
נשר,2017,"10,121.50",33.8,39.7,0.4
נשר,2016,"9,563",35.2,41.3,0.4
נשר,2015,"9,403",34.1,42.4,0.4
נתיבות,2019,"7,393.70",46.1,39.6,0.4
נתיבות,2018,"7,179.90",46.7,46.3,0.4
נתיבות,2017,"6,862.40",46.7,45.6,0.4
נתיבות,2016,"6,348",49.1,45.5,0.4
נתיבות,2015,"6,314",47.4,45.6,0.4
נתניה,2019,"9,293.10",39.4,41.4,0.4
נתניה,2018,"9,045.70",39.9,46.2,0.4
נתניה,2017,"8,831.20",38.5,41.6,0.4
נתניה,2016,"8,391",39.4,42.8,0.4
נתניה,2015,"8,275",38,42.4,0.4
סאג'ור,2019,"7,988.00",44.6,59,0.4
סאג'ור,2018,"7,879.80",45,64.2,0.4
סאג'ור,2017,"7,525.90",44.9,63.6,0.4
סאג'ור,2016,"6,494.20",50.7,60.2,0.4
סאג'ור,2015,"6,906.40",44.7,58,0.4
סביון*,2019,"17,104.60",31,31.2,0.6
סביון*,2018,"17,941.40",28,39,0.6
סביון*,2017,"17,641.90",27,33.9,0.6
סביון*,2016,"17,116.70",27.6,34.3,0.6
סביון*,2015,"17,030.60",25.7,35.5,0.6
סח'נין,2019,"6,711.60",54.6,40,0.4
סח'נין,2018,"6,617.20",54.9,39.6,0.4
סח'נין,2017,"6,482.90",53.1,42.3,0.4
סח'נין,2016,"6,158",53.4,41.5,0.4
סח'נין,2015,"5,981",52.1,46.2,0.4
ע'ג'ר,2019,"7,020.30",49.5,42.9,0.4
ע'ג'ר,2018,"7,234.70",48.7,54.8,0.4
ע'ג'ר,2017,"7,236.30",45,45.6,0.4
ע'ג'ר,2016,"7,005.80",44.6,44.8,0.4
ע'ג'ר,2015,"6,612.20",46.4,49.2,0.4
עומר,2019,"15,739.50",29.8,36.8,0.5
עומר,2018,"16,814.90",28.1,35.4,0.5
עומר,2017,"16,675.40",26.2,30.5,0.5
עומר,2016,"15,974.10",26.5,28.6,0.5
עומר,2015,"15,922.20",24.8,29.6,0.5
עיילבון,2019,"8,281.40",45.9,40.8,0.4
עיילבון,2018,"8,180.00",45.1,48.2,0.4
עיילבון,2017,"7,859.10",45.3,48.8,0.4
עיילבון,2016,"7,247.10",46.9,45.7,0.4
עיילבון,2015,"7,159.50",43.9,44.4,0.4
עילוט,2019,"5,809.20",56.4,24.7,0.4
עילוט,2018,"5,794.60",55.7,28.7,0.4
עילוט,2017,"5,575.90",54,27.5,0.4
עילוט,2016,"5,421.40",53.6,26.2,0.4
עילוט,2015,"5,242.40",53.5,27.3,0.4
עין מאהל,2019,"5,646.30",59.5,43.4,0.4
עין מאהל,2018,"5,704.70",59.6,40.1,0.4
עין מאהל,2017,"5,443.70",58.2,39.5,0.4
עין מאהל,2016,"5,132.40",58.3,38.6,0.4
עין מאהל,2015,"4,938.60",56.8,41,0.3
עין קנייא,2019,"6,121.10",57.3,46.7,0.4
עין קנייא,2018,"6,095.90",57.4,41.9,0.4
עין קנייא,2017,"5,987.10",57.2,50,0.4
עין קנייא,2016,"5,595.50",58.6,55.3,0.4
עין קנייא,2015,"5,455.50",56.8,63.7,0.4
עכו,2019,"7,907.20",42.5,39.5,0.4
עכו,2018,"7,582.50",43.8,44.9,0.4
עכו,2017,"7,378.40",42.7,41.3,0.4
עכו,2016,"6,846",45.1,41.4,0.4
עכו,2015,"6,787",42.9,43.1,0.4
עמנואל,2019,"5,541.30",57.6,63.3,0.4
עמנואל,2018,"5,318.90",58.7,72.2,0.4
עמנואל,2017,"5,056.60",58.8,62.5,0.4
עמנואל,2016,"4,678.90",62.3,67.4,0.4
עמנואל,2015,"4,540.00",61.3,68.1,0.4
עספיא,2019,"8,509.40",43.5,47.4,0.4
עספיא,2018,"8,151.90",44.8,49.1,0.4
עספיא,2017,"8,001.50",44.8,49.9,0.4
עספיא,2016,"7,620.80",45.5,53.4,0.4
עספיא,2015,"7,439.50",44.4,57.7,0.4
עפולה,2019,"8,450.40",39.6,44.9,0.4
עפולה,2018,"8,059.60",40.9,48.3,0.4
עפולה,2017,"7,846.50",40.2,44.5,0.4
עפולה,2016,"7,388",41.4,45,0.4
עפולה,2015,"7,446",39.5,47.4,0.4
עראבה,2019,"6,558.40",56.4,37.6,0.4
עראבה,2018,"6,592.90",55.4,38.2,0.4
עראבה,2017,"6,318.50",54.4,40.5,0.4
עראבה,2016,"6,103",54.2,41.7,0.4
עראבה,2015,"5,891",53.7,45.4,0.4
ערד,2019,"7,962.20",43.7,51.7,0.4
ערד,2018,"7,845.60",44.4,55.2,0.4
ערד,2017,"7,689.60",43.4,50.9,0.4
ערד,2016,"7,297",45,51.2,0.4
ערד,2015,"7,139",43.4,50.2,0.4
ערערה,2019,"6,843.40",50.2,44,0.4
ערערה,2018,"6,865.30",49.9,46.6,0.4
ערערה,2017,"6,631.40",49.3,46.4,0.4
ערערה,2016,"6,319.90",49.9,45.2,0.4
ערערה,2015,"6,145.80",47.9,48.3,0.4
ערערה-בנגב,2019,"5,924.10",56.1,33.8,0.4
ערערה-בנגב,2018,"6,160.50",53.8,37.7,0.4
ערערה-בנגב,2017,"5,969.50",53.9,41.7,0.4
ערערה-בנגב,2016,"5,913.00",51.3,39.3,0.3
ערערה-בנגב,2015,"5,874.70",48.2,37.9,0.3
פוריידיס,2019,"6,400.30",49.6,43.2,0.3
פוריידיס,2018,"6,345.70",48.9,46.8,0.4
פוריידיס,2017,"6,101.00",48.3,43.7,0.4
פוריידיס,2016,"5,769.30",49.7,47.1,0.3
פוריידיס,2015,"5,490.00",49.8,46.2,0.3
פסוטה,2019,"8,581.70",40.9,45.3,0.4
פסוטה,2018,"8,389.30",40.1,48.9,0.4
פסוטה,2017,"8,074.70",40,45,0.4
פסוטה,2016,"7,431.00",42.8,49.7,0.4
פסוטה,2015,"7,198.40",41.4,51.3,0.4
פקיעין (בוקייעה),2019,"8,086.80",44.6,52.6,0.4
פקיעין (בוקייעה),2018,"7,826.50",44.1,53.2,0.4
פקיעין (בוקייעה),2017,"7,517.80",44.1,51.7,0.4
פקיעין (בוקייעה),2016,"7,065.10",46.6,52.1,0.4
פקיעין (בוקייעה),2015,"7,118.20",44.8,54.4,0.4
פרדס חנה-כרכור,2019,"10,824.90",35.4,40.7,0.4
פרדס חנה-כרכור,2018,"10,967.80",34.9,43.2,0.5
פרדס חנה-כרכור,2017,"10,701.90",33.7,39.6,0.5
פרדס חנה-כרכור,2016,"10,081.00",35,40.6,0.4
פרדס חנה-כרכור,2015,"10,012.90",33.8,42.7,0.4
פרדסייה,2019,"12,905.70",31.7,35.8,0.5
פרדסייה,2018,"13,190.90",31.1,36.9,0.5
פרדסייה,2017,"12,642.10",31.2,28.6,0.5
פרדסייה,2016,"11,960.80",33,34,0.5
פרדסייה,2015,"11,933.20",31,31.8,0.5
פתח תקווה,2019,"10,999.70",32.4,37.2,0.4
פתח תקווה,2018,"10,757.50",32.5,40.8,0.4
פתח תקווה,2017,"10,559.90",30.8,35.9,0.4
פתח תקווה,2016,"9,998",31.8,36.6,0.4
פתח תקווה,2015,"9,910",30.2,38,0.4
צפת,2019,"6,750.80",52.2,50,0.4
צפת,2018,"6,370.10",55.1,58.5,0.4
צפת,2017,"6,214.40",53.8,54.1,0.4
צפת,2016,"5,842",55.7,54.6,0.4
צפת,2015,"5,862",53.8,58.4,0.4
קדומים,2019,"9,101.70",42.9,42.2,0.4
קדומים,2018,"9,600.80",38.6,46.5,0.4
קדומים,2017,"9,535.00",36.3,45.8,0.4
קדומים,2016,"8,671.80",40.7,52.6,0.4
קדומים,2015,"8,878.40",36.7,52.8,0.4
קדימה-צורן,2019,"12,692.30",34,31.3,0.5
קדימה-צורן,2018,"13,262.60",31.9,34.2,0.5
קדימה-צורן,2017,"13,134.70",30,31.9,0.5
קדימה-צורן,2016,"12,557.90",30.8,32.7,0.5
קדימה-צורן,2015,"12,315.70",29.9,33.5,0.5
קלנסווה,2019,"6,808.00",49.1,37.7,0.4
קלנסווה,2018,"6,778.80",49.3,40,0.4
קלנסווה,2017,"6,546.80",48.1,41.4,0.4
קלנסווה,2016,"6,204",49.4,42.9,0.4
קלנסווה,2015,"6,038",48.3,47.8,0.4
קצרין,2019,"7,566.90",42.1,42.1,0.4
קצרין,2018,"7,363.00",42.4,54.7,0.4
קצרין,2017,"7,073.10",42.3,49.8,0.4
קצרין,2016,"6,548.60",45.1,52.5,0.4
קצרין,2015,"6,753.70",41.1,53.2,0.4
קריית אונו,2019,"14,504.50",28.2,33.1,0.5
קריית אונו,2018,"14,825.50",26.8,35.4,0.5
קריית אונו,2017,"14,532.20",25.6,29.7,0.5
קריית אונו,2016,"13,892",26.2,30.7,0.5
קריית אונו,2015,"13,664",25.1,32.1,0.5
קריית ארבע,2019,"7,167.90",46.6,47.5,0.4
קריית ארבע,2018,"6,582.00",49.1,54.9,0.4
קריית ארבע,2017,"6,481.90",48.6,51.6,0.4
קריית ארבע,2016,"5,929.40",50.2,46.5,0.4
קריית ארבע,2015,"5,755.20",49.6,44,0.4
קריית אתא,2019,"9,523.30",36.6,38.6,0.4
קריית אתא,2018,"9,100.30",38,43.1,0.4
קריית אתא,2017,"8,943.50",36.5,38.9,0.4
קריית אתא,2016,"8,446",37.8,41.7,0.4
קריית אתא,2015,"8,308",36.6,42.9,0.4
קריית ביאליק,2019,"10,037.90",35,39.7,0.4
קריית ביאליק,2018,"9,569.50",36.3,44.4,0.4
קריית ביאליק,2017,"9,450.20",34.4,40.8,0.4
קריית ביאליק,2016,"8,940",36.1,39.4,0.4
קריית ביאליק,2015,"8,843",34.9,41.5,0.4
קריית גת,2019,"7,950.20",40.6,39.4,0.4
קריית גת,2018,"7,597.60",41.7,44.1,0.4
קריית גת,2017,"7,307.40",40.5,37.8,0.4
קריית גת,2016,"6,744",43.5,39,0.4
קריית גת,2015,"6,670",42.4,39.1,0.4
קריית טבעון,2019,"12,598.10",35.7,42.3,0.5
קריית טבעון,2018,"12,344.10",35.8,43.8,0.5
קריית טבעון,2017,"12,608.20",33.7,39.9,0.5
קריית טבעון,2016,"12,171.10",34.7,41.2,0.5
קריית טבעון,2015,"12,175.10",33.1,42.2,0.5
קריית ים,2019,"8,485.40",39.8,47,0.4
קריית ים,2018,"7,965.70",41.7,50.6,0.4
קריית ים,2017,"7,865.30",40.1,46.6,0.4
קריית ים,2016,"7,445",41.2,45.7,0.4
קריית ים,2015,"7,346",39.9,50.3,0.4
קריית יערים,2019,"6,692.20",55.6,40.6,0.4
קריית יערים,2018,"6,447.00",55.2,46,0.4
קריית יערים,2017,"6,106.90",56.5,46.3,0.4
קריית יערים,2016,"5,816.30",56.9,44.1,0.4
קריית יערים,2015,"5,613.00",57,50.8,0.4
קריית מוצקין,2019,"10,504.20",34,40.1,0.4
קריית מוצקין,2018,"10,041.70",35.6,43,0.4
קריית מוצקין,2017,"9,959.60",33.8,37.4,0.4
קריית מוצקין,2016,"9,407",35,38,0.4
קריית מוצקין,2015,"9,359",33.7,38.6,0.4
קריית מלאכי,2019,"7,396.30",43,37.5,0.4
קריית מלאכי,2018,"6,986.80",44.6,45,0.4
קריית מלאכי,2017,"6,649.40",44.9,40.5,0.4
קריית מלאכי,2016,"6,137",47.8,35.9,0.4
קריית מלאכי,2015,"6,018",46.2,39.9,0.4
קריית עקרון,2019,"8,870.00",37.5,33.7,0.4
קריית עקרון,2018,"8,519.00",38.2,38.3,0.4
קריית עקרון,2017,"8,217.00",38.1,35.6,0.4
קריית עקרון,2016,"7,616.30",40.3,37.1,0.4
קריית עקרון,2015,"7,775.60",38,41.5,0.4
קריית שמונה,2019,"8,370.90",38.3,42.6,0.4
קריית שמונה,2018,"7,920.30",39.7,48.4,0.4
קריית שמונה,2017,"7,708.60",39.4,45,0.4
קריית שמונה,2016,"7,172",41.3,42.6,0.4
קריית שמונה,2015,"7,221",39.8,46.7,0.4
קרני שומרון,2019,"9,800.80",36.7,41.3,0.4
קרני שומרון,2018,"9,496.80",36.2,44.6,0.4
קרני שומרון,2017,"9,240.50",34.6,41.5,0.4
קרני שומרון,2016,"8,589.30",36.6,43.8,0.4
קרני שומרון,2015,"8,453.40",36.2,44.3,0.4
ראמה,2019,"7,972.80",44.3,42.9,0.5
ראמה,2018,"7,765.30",46.1,47.6,0.4
ראמה,2017,"7,562.90",45.3,46.3,0.4
ראמה,2016,"6,919.00",48.8,51.7,0.4
ראמה,2015,"6,771.40",48,51.3,0.4
ראש העין,2019,"11,269.60",31.8,37.1,0.4
ראש העין,2018,"11,213.70",30.3,37.8,0.4
ראש העין,2017,"10,807.30",30.5,36.7,0.4
ראש העין,2016,"9,974",33.1,39.1,0.4
ראש העין,2015,"10,105",32.2,40.5,0.4
ראש פינה,2019,"11,161.40",34.1,37.9,0.4
ראש פינה,2018,"11,233.40",33.4,41,0.4
ראש פינה,2017,"10,954.00",31.6,35.9,0.4
ראש פינה,2016,"10,492",33.1,38.1,0.4
ראש פינה,2015,"10,310",31.1,38.7,0.4
ראשון לציון,2019,"11,058.80",32.2,35.2,0.4
ראשון לציון,2018,"10,700.20",32.7,38.6,0.4
ראשון לציון,2017,"10,492.40",31.4,33.4,0.4
ראשון לציון,2016,"10,021",32.1,35,0.4
ראשון לציון,2015,"9,976",30.5,35.1,0.4
רהט,2019,"5,751.40",56.9,36.1,0.3
רהט,2018,"5,719.20",56.7,38.8,0.4
רהט,2017,"5,389.10",56.7,39.2,0.4
רהט,2016,"4,959",59.6,41.2,0.3
רהט,2015,"4,793",58.2,43.1,0.3
רחובות,2019,"11,348.20",33.6,37,0.4
רחובות,2018,"11,061.90",33.7,41.1,0.5
רחובות,2017,"10,809.70",32.6,37.3,0.4
רחובות,2016,"10,187",34.4,38.5,0.4
רחובות,2015,"10,187",32.6,38.9,0.4
ריינה,2019,"6,323.50",54.5,34.3,0.4
ריינה,2018,"6,365.20",53.3,37.9,0.4
ריינה,2017,"6,110.70",52.8,36.4,0.4
ריינה,2016,"5,726.30",54.2,37.3,0.4
ריינה,2015,"5,594.50",51.7,42.6,0.4
רכסים,2019,"5,740.20",57.3,57.6,0.4
רכסים,2018,"5,591.30",59.4,58.5,0.4
רכסים,2017,"5,540.50",57.5,65.7,0.4
רכסים,2016,"5,222.70",58.9,62.7,0.4
רכסים,2015,"5,077.30",58.1,61.4,0.4
רמלה,2019,"8,094.20",38.3,37.8,0.4
רמלה,2018,"7,825.50",39,40.6,0.4
רמלה,2017,"7,563.30",37.7,38.5,0.4
רמלה,2016,"7,102",39.6,38.8,0.3
רמלה,2015,"6,990",37.7,40.5,0.3
רמת גן,2019,"12,339.10",30.2,36.4,0.4
רמת גן,2018,"11,569.70",32.1,39.9,0.5
רמת גן,2017,"11,359.90",30.4,34.7,0.5
רמת גן,2016,"10,863",31.2,36.1,0.4
רמת גן,2015,"10,679",29.9,36.5,0.4
רמת השרון,2019,"14,348.30",30.9,35.4,0.5
רמת השרון,2018,"14,603.70",29.7,40.3,0.5
רמת השרון,2017,"14,451.10",28.6,33.2,0.5
רמת השרון,2016,"13,914",28.7,34.7,0.5
רמת השרון,2015,"13,937",27.4,35.3,0.5
רמת ישי,2019,"13,145.60",31.6,34.6,0.4
רמת ישי,2018,"13,061.70",31,41.1,0.5
רמת ישי,2017,"12,830.80",29.4,36.3,0.4
רמת ישי,2016,"12,330.40",31.1,40,0.4
רמת ישי,2015,"12,315.70",29.9,43.2,0.4
רעננה,2019,"12,925.80",34.2,36.6,0.5
רעננה,2018,"13,080.30",33.5,41,0.5
רעננה,2017,"12,897.70",32.5,36.8,0.5
רעננה,2016,"12,299",32.9,36.6,0.5
רעננה,2015,"12,229",31.6,35.7,0.5
שבלי - אום אל-גנם,2019,"6,708.00",47.9,29.7,0.3
שבלי - אום אל-גנם,2018,"6,768.80",46.2,34.1,0.4
שבלי - אום אל-גנם,2017,"6,563.90",46.3,34.2,0.4
שבלי - אום אל-גנם,2016,"6,222.10",46.5,35.6,0.3
שבלי - אום אל-גנם,2015,"6,033.70",46,34.4,0.3
שגב-שלום,2019,"5,533.00",56.3,47.1,0.3
שגב-שלום,2018,"5,716.10",55,50,0.4
שגב-שלום,2017,"5,412.10",53.4,49.4,0.3
שגב-שלום,2016,"5,091.00",55.8,52.1,0.3
שגב-שלום,2015,"4,907.90",56.4,55.7,0.3
שדרות,2019,"8,424.60",38.6,35.6,0.4
שדרות,2018,"8,180.00",40,36.8,0.4
שדרות,2017,"7,791.00",39.4,34.6,0.4
שדרות,2016,"7,201",41.7,38.2,0.4
שדרות,2015,"6,962",41.4,42.7,0.4
שוהם,2019,"14,543.90",31.8,28.8,0.5
שוהם,2018,"15,412.70",28.9,31.5,0.5
שוהם,2017,"15,179.90",27.5,30.7,0.5
שוהם,2016,"14,689.70",28.6,30.3,0.5
שוהם,2015,"14,725.80",26.5,30.2,0.4
שלומי,2019,"9,337.70",35.8,39.2,0.4
שלומי,2018,"9,398.30",35.1,38.5,0.4
שלומי,2017,"8,925.20",35.1,32.4,0.4
שלומי,2016,"8,164.70",38.2,38.5,0.4
שלומי,2015,"8,077.00",35.8,38.6,0.4
שעב,2019,"6,097.50",54.2,46.3,0.3
שעב,2018,"5,972.60",54.1,51.7,0.4
שעב,2017,"5,720.70",54,50,0.4
שעב,2016,"4,032","4,032","4,032","4,032"
שעב,2015,"5,312.00",52.6,60,0.3
שפרעם,2019,"7,105.60",49.6,37.7,0.4
שפרעם,2018,"6,911.30",49.9,41.6,0.4
שפרעם,2017,"6,701.80",49.1,40.3,0.4
שפרעם,2016,"6,236",50.7,41.1,0.4
שפרעם,2015,"6,142",48.8,41.8,0.4
תל אביב -יפו,2019,"12,590.90",31.4,36.7,0.5
תל אביב -יפו,2018,"12,273.30",33.1,40.4,0.5
תל אביב -יפו,2017,"11,606.00",32.1,36.6,0.5
תל אביב -יפו,2016,"11,017",33.2,37.1,0.5
תל אביב -יפו,2015,"10,808",31.9,37.5,0.5
תל מונד,2019,"13,787.60",34.6,33.8,0.5
תל מונד,2018,"14,684.60",31.6,34.2,0.5
תל מונד,2017,"14,516.80",31,32.1,0.5
תל מונד,2016,"13,983.00",31.5,28.2,0.5
תל מונד,2015,"14,056.70",28.5,31,0.5
תל שבע,2019,"5,288.00",60.6,38.7,0.4
תל שבע,2018,"5,429.10",60,36.4,0.4
תל שבע,2017,"5,278.40",59.2,37.8,0.4
תל שבע,2016,"4,983.90",60.5,31.5,0.4
תל שבע,2015,"5,083.20",55.7,38.5,0.4
,,,,,
